Fold,Accuracy,F1-Score
1,0.9811875367430923,0.9812011085293386
2,0.9770723104056437,0.9770169091583969
3,0.9653145208700764,0.9654445630568591
4,0.9747207524985303,0.9748608335229847
5,0.9800117577895355,0.9800798283830765
6,0.9776601998824221,0.9775793388434021
7,0.971764705882353,0.9718912926164324
8,0.971764705882353,0.9717259096574491
9,0.9705882352941176,0.9705881521088079
10,0.9752941176470589,0.9750832348487398
