Fold,Accuracy,F1-Score
1,0.9770723104056437,0.977088573363237
2,0.9682539682539683,0.9682546338468628
3,0.9653145208700764,0.9651740638468013
4,0.9700176366843033,0.9699039449127491
5,0.9717813051146384,0.9717494545807098
6,0.9670781893004116,0.9668622112846803
7,0.9682352941176471,0.9682129914876866
8,0.9688235294117648,0.9686166225446281
9,0.9594117647058824,0.9594547788844537
10,0.9688235294117648,0.9687440691947359
