Model,Accuracy,Precision,Recall,F1-Score,Training Time
SVM,72.99098392787143,73.52901365626391,72.99098392787143,73.14383437806579,120.97260737419128
Random Forest,69.07095256762054,68.5905662073674,69.07095256762054,68.33168126853403,4.700796842575073
Logistic Regression,72.28537828302628,72.86505663144169,72.28537828302628,72.39690976762468,3.45466947555542
