Fold,Accuracy,F1-Score
1,0.9706055261610818,0.970557481459154
2,0.969429747207525,0.9693861331213919
3,0.9653145208700764,0.9651572419623324
4,0.969429747207525,0.9696107320530831
5,0.9735449735449735,0.9735518764516072
6,0.9700176366843033,0.9700085574674635
7,0.9647058823529412,0.9648417876470948
8,0.9641176470588235,0.9641006250025547
9,0.961764705882353,0.9618100920050697
10,0.9658823529411765,0.9660233469092041
